;Purchase;Organisation;Price;Date
0;Открытый аукцион в электронной форме (051-аэф) на право заключить муниципальный контракт на выполнение работ по текущему содержанию автодорог в г.Рославль Смоленской области и инженерных сооружений на них во 2 полугодии 2012года.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";7 391 422.00;29.06.2012
1;«Выполнение работ по внедрению и содержанию технических средств, организации и регулированию дорожного движения на территории Миасского городского округа»;Администрация Миасского городского округа;719 300.00;21.06.2012
2;Выполнение проектно-изыскательских работ со сбором исходных данных и оформлением землеустроительной документации по объекту: Строительство котельной «Центральная» с оптимизацией котельной «Школа» с тепловыми сетями в с. Бейдинге Усть-Алданского улуса;"Государственное казенное учреждение Республики Саха (Якутия) ""Дирекция по реконструкции и строительству объектов жилищно-коммунального хозяйства и энергетики""";1 000 000.00;18.06.2012
3;Выполнение проектно-изыскательских работ со сбором исходных данных и оформлением землеустроительной документации по объекту: «Строительство котельной №1 «Центральная» с ликвидацией котельной №4 «Авиапорт» в п. Батагай-Алыта Эвено- Бытантайского улуса»;"Государственное казенное учреждение Республики Саха (Якутия) ""Дирекция по реконструкции и строительству объектов жилищно-коммунального хозяйства и энергетики""";3 500 000.00;29.06.2012
4;Поставка автомобилей - фургонов цельнометаллических грузопассажирских (согласно технического задания кол-во 4 единицы).;Администрация местного самоуправления г.Владикавказ;2 388 000.00;18.06.2012
5;Поставка компьютерного оборудования (согласно спецификации).;Администрация местного самоуправления г.Владикавказ;513 300.00;18.06.2012
6;Открытый аукцион в электронной форме на право заключения договора на оказание услуг по увеличению объёма и продлению срока действия простой (неисключительной) лицензии на использование антивирусного программного обеспечения «Лаборатории Касперского» для обеспечения защиты компьютеров и серверов Заказчика.;"федеральное государственное бюджетное учреждение ""Российское энергетическое агентство"" Министерства энергетики Российской Федерации";951 450.00;18.06.2012
7;Открытый аукцион в электронной форме «Поставка двух канализационных насосов GRUNDFOS SV 80.80.150.2.54H.S.220.G.N.D и шкафа управления GRUNDFOS LCD 108.400.3.2x59A SD » .;администрация городского поселения Берёзово;772 000.00;18.06.2012
8;«Капитальный ремонт кабинета физики в МБОУ Усть-Абаканская СОШ №2»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;250 000.00;13.06.2012
9;"«Капитальный ремонт подвальной разводки, системы отопления МБОУ Московская СОШ""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;200 000.00;13.06.2012
10;Поставка фронтального погрузчика (согласно технического задания ).;Администрация местного самоуправления г.Владикавказ;2 255 000.00;18.06.2012
11;"« Капитальный ремонт системы водоснабжения и водоотведения в кабинетах МБОУ Усть-Абаканская СОШ №2""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;208 800.00;13.06.2012
12;«Капитальный ремонт системы водоснабжения и водоотведения в кабинетах МБОУ Усть-Абаканская СОШ №1;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;254 000.00;13.06.2012
13;Выполнение работ по сносу и обрезке аварийных деревьев на внутриквартальных территориях (не относящихся к общей долевой собственности собственников помещений многоквартирных домов) Дзержинского района города Новосибирска, в рамках реализации ведомственной целевой программы «Улучшение экологической обстановки на территории города Новосибирска» на 2011 – 2013 годы, утвержденной постановлением мэрии города Новосибирска от 01.11.2010 № 3840.;Департамент энергетики, жилищного и коммунального хозяйства города;140 330.00;18.06.2012
14;Оказание услуг по содержанию детских площадок и устранению дефектов и неисправностей игрового оборудования на детских площадках, расположенных на территории микрорайона Восточный и пос. Энергетиков муниципального образования город Нягань;Администрация муниципального образования город Нягань;125 985.00;25.06.2012
15;Выполнение работ по сносу и обрезке аварийных деревьев на внутриквартальных территориях (не относящихся к общей долевой собственности собственников помещений многоквартирных домов) Заельцовского района города Новосибирска, в рамках реализации ведомственной целевой программы «Улучшение экологической обстановки на территории города Новосибирска» на 2011 – 2013 годы, утвержденной постановлением мэрии города Новосибирска от 01.11.2010 № 3840.;Департамент энергетики, жилищного и коммунального хозяйства города;72 000.02;18.06.2012
16;Ремонт грунтощебеночного покрытия внутридворового проезда, домов 4,6,8,10,12 на ул. Энергетиков;"Муниципальное казенное учреждение ""Управление муниципального заказчика""";359 465.76;18.06.2012
17;Поставка STEELBEAR полуприцепов-контейнеровозов низкорамных типа PK- 24N (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;4 101 019.65;02.07.2012
18;Поставка автобусов Higer KLQ 6885 Q (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;12 862 600.00;02.07.2012
19;Поставка автомобилей ГАЗ-27057-298 (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;10 902 500.07;02.07.2012
20;Поставка автомобиля Volkswagen Multivan PanAmericana , 2.0 biTDI 132 кВт авт.-7(DSG), 4Motion (или эквивалента) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;2 665 889.33;25.06.2012
21;Поставка самосвалов на базе ГАЗ-33106, «Валдай» (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;4 952 000.00;02.07.2012
22;Поставка седельных тягачей КАМАЗ-65116-020-62 (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;12 427 333.31;16.07.2012
23;Поставка передвижных автомастерских Volkswagen Crafter 50 2,0 TDI 80 кВт (109 л.с.) (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;64 435 142.10;09.07.2012
24;Поставка комбинированной машины КО-829Д (или эквивалента) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;1 901 860.00;25.06.2012
25;Поставка автомобилей-фургонов мастерских (передвижные пункты питания) на шасси Volkswagen Crafter 50 (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;9 309 898.88;09.07.2012
26;Поставка автокранов «Ивановец» КС-35715 на базе шасси МАЗ-5337 (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;18 666 666.65;16.07.2012
27;Поставка автомобиля-эвакуатора со сдвижной платформой на шасси Hyundai HD-120 Extra Long с манипулятором Amco Veba 815Т (или эквивалента) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;4 186 830.00;09.07.2012
28;Поставка блок - модульных котельных мощностью 2,5 МВт в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;30 783 978.95;09.07.2012
29;Поставка МКСМ-800 погрузчиков (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;2 270 000.00;25.06.2012
30;Поставка экскаваторов-планировщиков EW-25-M1.103 (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;34 120 000.00;09.07.2012
31;Поставка экскаваторов - погрузчиков JCB-3CX (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;79 764 000.00;09.07.2012
32;"« Капитальный ремонт системы водоснабжения и водоотведения в кабинеты МБОУ Расцветовская СОШ""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;200 000.00;13.06.2012
33;Поставка экскаваторов-погрузчиков JCB-4CX (или эквивалентов) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;15 620 000.00;09.07.2012
34;на право заключения договора на выполнение подрядных работ по смене оконных блоков на изделия из ПВХ муниципального бюджетного образовательного учреждения средней школы №4 п. Ключи Усть-Камчатского района Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;900 000.00;13.06.2012
35;Ремонт дворовых территорий многоквартирных домов в п. Агинское для муниципальных нужд.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";899 630.00;13.06.2012
36;Устройство водопропускного коллектора по ул. Ленина в п. Агинское.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";1 057 310.00;13.06.2012
37;на поставку мебели для групповых и раздевальных помещений для МБДОУ № 8 детский сад «Ромашка» п. Усть-Камчатск Усть-Камчатского района Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;782 797.00;13.06.2012
38;на поставку технологического оборудования для пищеблока и постирочной для муниципального бюджетного дошкольного образовательного учреждения № 8 детский сад «Ромашка» п.Усть-Камчатск Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;596 741.00;13.06.2012
39;"выполнение работ по капитальному ремонту здания МКОУ ""Погорельская средняя общеобразовательная школа Шадринского района Курганской области""";Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;2 768 652.00;09.06.2012
40;Оказание услуг по сбору, вывозу и утилизации твёрдых бытовых и промышленных отходов (ТБПО), в том числе крупногабаритный мусор (КГМ) и отходы, образовавшиеся в связи с текущим ремонтом жилых помещений, на территории Миасского городского округа;Администрация Миасского городского округа;1 879 805.76;13.06.2012
41;Открытый аукцион в электронной форме на право заключения муниципального контракта на выполнение работ по ремонту кровли в жилого дома № 7 по ул. Энергетиков в г.Щекино.;Администрация муниципального образования город Щекино Щекинского района;59 384.81;13.06.2012
42;"Выполнение работ по строительству электрических сетей и устройств наружного освещения Лабораторного пр. от Бестужевской ул. до пр. Мечникова; пр. Мечникова от Кондратьевского пр. до Лабораторного пр. в 2012-2013 годах для государственных нужд Санкт-Петербурга";Комитет по энергетике и инженерному обеспечению;3 290 343.00;02.07.2012
43;"выполнение работ по капитальному ремонту кровли и замены оконных заполнений МКОУ ""Погорельская средняя общеобразовательная школа Шадринского района Курганской области""";Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;2 768 652.00;09.06.2012
44;на право заключить муниципальный контракт на оказание услуг по осуществлению паромной переправы судном ледового класса через протоку Озерная реки Камчатка;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;27 399 546.72;25.06.2012
45;"выполнение работ по капитальному ремонту МКОУ ""Мингалевская основная общеобразовательная школа Шадринского района Курганской области""";Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;1 415 924.00;08.06.2012
46;"выполнение работ по капитальному ремонту спортзала МКОУ ""Погорельская средняя общеобразовательная школа Шадринского района Курганской области""";Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;815 460.00;08.06.2012
47;"Выполнение работ по строительству линий электроснабжения праздничных украшений Александровского сада (фонтан); Пироговской наб.; пл. Победы (Пулковское шоссе); Александровского парка; пл. Восстания в 2012 году для государственных нужд Санкт-Петербурга";Комитет по энергетике и инженерному обеспечению;2 329 242.00;25.06.2012
48;Выполнение работ по капитальному ремонту установок наружного освещения Введенского кан., Водопроводного пер. в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;1 804 309.00;13.06.2012
49;Выполнение работ по монтажу охранно-пожарной сигнализации в главном корпусе ИСЭМ СО РАН;Федеральное государственное бюджетное учреждение науки Институт систем энергетики им. Л.А. Мелентьева Сибирского отделения Российской академии наук;198 882.00;09.06.2012
50;на право заключить договор на проведение ремонтных работ здания МБУЗ Усть-Камчатская ЦРБ в 2012 г.;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;781 627.43;13.06.2012
51;Оказание образовательных услуг по подготовке представителей управляющих организаций и собственников помещений многоквартирных домов, ответственных за энергосбережение и повышение энергоэффективности, в рамках реализации долгосрочной городской целевой программы «Энергосбережение и повышение энергетической эффективности в городе Новосибирске» на 2011-2015 годы и на перспективу до 2020 года».;Департамент энергетики, жилищного и коммунального хозяйства города;929 805.60;09.06.2012
52;Выполнение работ по утилизации ртутьсодержащих отходов (ламп), образующихся в муниципальных бюджетных учреждениях города Новосибирска.;Департамент энергетики, жилищного и коммунального хозяйства города;749 996.00;09.06.2012
53;"«Замена оконных блоков в МБДОУ ""ЦРР-ДС «Солнышко»";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;766 000.00;13.06.2012
54;выполнение работ по реконструкции центрального теплового пункта (ЦТП) по адресу: ул. Станюковича, д.6, корп.1, лит. А в 2012-2013 годах для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;32 117 280.85;25.06.2012
55;"Выполнение работ по строительству вторых вводов водопровода к 7-ми групповым котельным ГУП ""ТЭК СПб"" по адресам: Московский пр., д.125, корп.2; ул. Коли Томчака, д.14, корп.3; пр. Обуховской Обороны, д.133; пр. Обуховской Обороны, д.56А; Бухарестская ул., д.134, корп.4; пр. Энгельса, д.17, корп.3; Новочеркасский пр., д.29, корп.2 в 2012-2013 годах для государственных нужд Санкт-Петербурга";Комитет по энергетике и инженерному обеспечению;9 946 605.48;25.06.2012
56;выполнение капитального ремонта автомобильных дорог общего пользования местного значения северной части Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;2 137 457.00;08.06.2012
57;выполнение капитального ремонта автомобильных дорог общего пользования местного значения юго-западной части Шадринского района Курганской области;Комитет по управлению муниципальным имуществом, земельным ресурсам, промышленности, транспорту, связи и муниципальному заказу Администрации Шадринского района;2 432 714.00;08.06.2012
58;Открытый аукцион в электронной форме на право заключения договора на поставку сетевого комплекса локальной передачи данных для нужд ФГБУ «РЭА» Минэнерго России;"федеральное государственное бюджетное учреждение ""Российское энергетическое агентство"" Министерства энергетики Российской Федерации";928 610.00;08.06.2012
59;выполнение работ по капитальному ремонту установок наружного освещения ул. Чапаева - ул. Котовского - Б. Монетная ул. в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;725 738.00;13.06.2012
60;Открытый аукцион в электронной форме (050-аэф) на право заключить муниципальный контракт на выполнение работ по устройству ограничивающих пешеходных ограждений в г.Рославль Смоленской области;"Администрация муниципального образования ""Рославльский район"" Смоленской области";700 245.00;04.06.2012
61;"Определение заказчика -застройщика по строительству ВЛ-35 кВ ""Оймур-Сухая"" с ПС 35 кВ ""Сухая""";Республиканское агентство по государственным закупкам;4 422 215.00;28.06.2012
62;"«Замену оконных блоков в МБДОУ ""ЦРР-ДС «Солнышко»";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;766 000.00;08.06.2012
63;оказание услуг по изготовлению нагрудных знаков и френчевых значков к ведомственным знакам отличия в труде Министерства энергетики Российской Федерации;Министерство энергетики Российской Федерации;1 048 480.00;07.06.2012
64;Ремонт уличного освещения по поселку Агинское.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";492 600.00;07.06.2012
65;«Замена оконных блоков в МБОУ Усть-Бюрская СОШ»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;1 000 000.00;13.06.2012
66;«Замену оконных блоков МБОУ Усть-Абаканская СОШ №2»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;1 000 000.00;13.06.2012
67;«Замену оконных блоков МБОУ Опытненская СОШ»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;1 000 000.00;13.06.2012
68;"Выполнение работ по капитальному ремонту установок наружного освещения ул. Салова от Белградской ул. до Витебского пр.; ул. Салова от Белградской ул. до Софийской ул. в 2012 году для государственных нужд Санкт-Петербурга";Комитет по энергетике и инженерному обеспечению;14 611 386.00;25.06.2012
69;"Выполнение работ в рамках целевой программы ""Формирование беспрепятственного доступа инвалидов и других маломобильных групп населения к объектам социальной инфраструктуры в Нижневартовском районе на 2011 - 2013 годы на объектах пгт. Излучинска Нижневартовского района: здание женской консультации, в жилых домах, где проживают инвалиды-колясочники: ул. Энергетиков, 5, кв. 177, ул. Энергетиков, 13, кв. 11, ул. Набережная, 5, кв. 63, ул. Набережная, 18, кв. 95, ул. Набережная, 1, кв. 69, ул. Школьная, 6, кв. 27";Администрация Нижневартовского района;1 051 280.00;09.06.2012
70;Выполнение работ по посадке цветочной рассады в цветники, уход за деревьями, кустарниками, многолетними цветами, газонами на территории Миасского городского округа на 2012 год;Администрация Миасского городского округа;419 617.00;04.06.2012
