;Purchase;Organisation;Price;Date
0;Разработка методологии и регламентной документации по применению проектного управления в ОАО «Концерн Росэнергоатом» при строительстве объектов атомной энергетики.;"Акционерное общество ""Концерн по производству электрической и тепловой энергии на атомных станциях"" Центральный аппарат";9200000;27.06.2012
1;Анализатор ASVP HVP-972;"ООО ""ПКФ ""ЭНЕРГЕТИКА""";;13.06.2012
2;Фланцы по чертежам;"ООО ""ПКФ ""ЭНЕРГЕТИКА""";;29.07.2012
3;Оказание услуг по информационному освещению в зарубежных СМИ вопросов развития атомной энергетики в странах балтийского региона;"Акционерное общество ""Концерн по производству электрической и тепловой энергии на атомных станциях"" Центральный аппарат";4600000;28.07.2012
4;"Ремонт помещений отдельно стоящего здания (санаторий-профилакторий ""Энергетик"" корпус№2)";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";4661278;06.07.2012
5;"Санаторий-профилакторий ""Энергетик"". Выполнение СМР по проекту: «Корректировка в осях 1-5. Отделочные работы»";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";3495000;13.07.2012
6;Разработка рекомендаций по совершенствованию эксплуатации тепломеханического оборудования АЭС по результатам обследования экспертами предприятий тепловой энергетики состояния эксплуатации ТМО;"Технологический филиал АО ""Концерн Росэнергоатом""
Заказчик:ОАО ""Концерн Росэнергоатом""";2100000;20.07.2012
7;Оказание услуг по популяризации атомной энергетики на территории Владимирской области;"Акционерное общество ""Концерн по производству электрической и тепловой энергии на атомных станциях"" Центральный аппарат";1300000;05.07.2012
8;Проведение проверок состояния эксплуатации и технического обслуживания ЭО АЭС с привлечением специалистов предприятий традиционной энергетики;"Технологический филиал АО ""Концерн Росэнергоатом""
Заказчик:ОАО ""Концерн Росэнергоатом""";1600000;15.06.2012
9;"Оказание транспортных услуг для круглосуточного дежурства во время отдыха детей в СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";731159;31.05.2012
10;Аптечки АП;"Открытое акционерное общество ""Концерн Росэнергоатом"" филиал ""Балаковская атомная станция""";;14.09.2012
11;Установка пожарной сигнализации;"Открытое акционерное общество ""Ярославский судостроительный завод""";;08.06.2012
12;Капитальный ремонт трансформаторов;"Открытое акционерное общество ""Ярославский судостроительный завод""";;08.06.2012
13;Лот №1 Устройство брусчатых и мозаиковых мостовых Лот №2 Установка бортовых камней;Интегратор ММВБ;1004295;02.07.2012
14;Лот №1 Устройство дорожных оснований и покрытий;Интегратор ММВБ;861867;25.06.2012
15;Лот №1 Устройство дорожных оснований и покрытий;Интегратор ММВБ;861867;02.07.2012
16;Лот №1 Устройство дорожных оснований и покрытий;Интегратор ММВБ;199769;06.07.2012
17;Лот №1 Устройство дорожных оснований и покрытий;Интегратор ММВБ;199769;16.07.2012
18;Лот №1 Устройство дорожных оснований и покрытий;Интегратор ММВБ;199769;29.06.2012
19;оказание услуг по организации участия представителей ОАО «Концерн Росэнергоатом» в пресс - мероприятиях, посвященных вопросам развития атомной энергетики в странах балтийского региона;"Акционерное общество ""Концерн по производству электрической и тепловой энергии на атомных станциях"" Центральный аппарат";6519000;31.07.2012
20;"Санаторий-профилакторий ""Энергетик"". СМР по реконструкции одноэтажного спального корпуса (склад №3).";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";4999734;20.08.2012
21;Поставка оборудования и комплектующих для модернизации сети передачи данных ОАО «Концерн Росэнергоатом», в связи с переездом ОАО «МУС Энергетики» на новую площадку.;"Акционерное общество ""КОНСИСТ-ОПЕРАТОР СВЯЗИ""";2205720;26.07.2012
22;"Проведение корпоративного мероприятия \""День энергетика\""";"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ОАО \""НГТЭ\""";211000;24.08.2012
23;Лот №1 Благоустройство территории;Интегратор ММВБ;1882275;23.07.2012
24;Лот №1 Благоустройство территории;Интегратор ММВБ;847520;27.08.2012
25;Лот №1 Благоустройство территории;Интегратор ММВБ;718715;17.08.2012
26;Лот №1 Устройство дорожных оснований и покрытий;Интегратор ММВБ;399168;09.08.2012
27;Лот №1 Благоустройство территории;Интегратор ММВБ;336432;20.08.2012
28;оказание услуг по разработке схемы территориального планирования Российской Федерации в области энергетики в части размещения объектов захоронения радиоактивных отходов (СТП ОЭ РАО);"Акционерное общество ""Атомкомплект""
Заказчик:ГК Росатом";27140000;02.11.2012
29;Отбор управляющей компании;"Некоммерческое партнерство объединение энергетиков ""Энергоэффект""";;02.10.2012
30;"оказание услуг по разработке Концепции и электронной презентации ""Национальный музей энергетики"" на территории Всероссийского выставочного центра (ГАО ""ВВЦ"")";"Государственная корпорация по атомной энергии ""Росатом""
Заказчик:ГК Росатом";7500000;17.12.2012
31;"Организация и проведение мероприятий, посвященных дню энергетика и юбилеям подразделений ОАО \""СИБЭКО\"".";"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ОАО \""СИБЭКО\""";5500000;19.09.2012
